trueLabel,bestAnswer,score
0,0,4.781556E-3
0,0,2.321822E-3
0,0,9.947928E-3
1,1,9.965239E-1
1,1,9.975632E-1
0,0,1.565732E-2
0,0,2.258877E-10
0,0,3.301723E-5
1,1,9.99992E-1
1,1,9.999998E-1
0,0,2.025341E-3
0,0,1.068857E-7
0,0,1.315031E-4
0,0,2.170146E-2
1,1,9.991446E-1
1,1,9.997041E-1
0,0,2.789211E-5
1,1,8.672307E-1
1,0,6.105958E-2
0,0,1.786703E-3
1,1,9.871949E-1
1,1,9.974806E-1
0,0,1.092808E-3
0,0,4.250237E-3
0,1,9.681232E-1
0,0,4.105111E-3
1,1,9.999997E-1
0,0,2.573456E-3
1,1,9.998062E-1
0,0,1.128589E-3
0,0,3.06511E-3
1,1,9.999687E-1
0,0,5.228532E-5
0,0,1.979465E-5
0,0,2.85859E-4
0,0,4.374342E-5
0,0,5.74992E-4
1,1,9.995428E-1
1,1,9.992286E-1
1,1,9.999931E-1
1,1,9.851134E-1
1,1,9.990485E-1
0,0,2.241027E-4
1,0,4.94339E-1
0,1,9.833101E-1
0,0,1.019222E-4
1,1,9.999862E-1
0,0,7.887493E-4
1,1,8.703755E-1
1,1,9.993212E-1
1,1,9.999984E-1
0,0,6.318314E-6
1,1,9.932503E-1
0,0,4.234334E-4
1,1,9.998491E-1
0,0,2.521325E-1
1,1,9.840927E-1
0,0,9.513907E-7
0,0,4.798434E-2
1,1,9.996125E-1
1,0,3.496604E-3
1,1,9.97978E-1
0,0,4.427295E-6
0,0,1.170998E-3
1,0,1.025058E-5
0,0,6.223389E-4
0,0,2.966149E-4
0,0,1.328456E-6
0,0,1.333684E-4
0,0,2.098801E-3
0,1,6.81598E-1
1,1,9.969078E-1
1,1,9.985987E-1
0,0,9.466234E-4
0,0,4.289838E-3
0,1,9.621872E-1
0,0,2.109488E-4
1,1,9.987144E-1
1,0,4.880205E-3
0,0,1.686398E-3
0,0,3.257324E-7
0,0,9.727433E-4
1,1,9.988686E-1
1,1,9.714389E-1
0,0,6.173161E-6
0,0,1.857352E-3
0,0,2.533742E-1
1,1,9.998791E-1
1,1,9.826557E-1
1,1,9.982309E-1
0,0,7.424006E-4
0,0,2.80907E-5
0,0,2.041696E-6
0,0,3.801706E-7
0,0,1.032507E-4
0,0,2.42603E-4
1,1,9.982663E-1
0,0,6.706764E-5
0,0,7.006803E-4
0,0,6.827451E-5
0,0,1.483136E-1
0,0,1.446885E-4
0,1,6.34273E-1
1,1,9.910828E-1
0,0,3.113399E-4
0,0,4.905457E-5
0,0,7.569953E-3
0,0,3.425816E-5
1,0,3.359824E-1
0,0,7.212322E-4
0,0,2.600854E-4
1,1,9.999792E-1
1,1,9.998078E-1
0,0,5.102213E-5
0,0,4.407513E-3
0,0,1.360866E-5
1,1,9.997883E-1
0,0,2.112851E-5
0,0,2.379397E-2
0,0,1.469079E-5
1,1,9.906048E-1
1,1,9.998766E-1
0,0,3.903883E-5
1,1,9.814387E-1
1,1,9.99999E-1
1,1,9.945804E-1
0,0,4.25243E-4
0,0,6.564786E-5
0,1,9.974193E-1
0,0,6.996305E-4
0,0,1.245198E-5
0,0,1.110482E-2
0,0,3.91426E-3
1,1,8.708068E-1
1,1,9.993052E-1
0,0,2.631444E-4
1,1,9.999919E-1
0,0,5.319139E-3
1,1,9.998817E-1
0,0,1.965177E-3
0,0,3.22094E-3
0,0,6.35286E-4
0,0,1.501641E-5
0,0,4.786631E-5
0,0,4.091699E-5
0,1,7.130281E-1
1,1,9.991696E-1
1,1,9.999947E-1
1,1,9.999032E-1
0,0,1.017736E-2
1,1,8.61797E-1
0,0,3.002055E-5
1,1,9.999694E-1
1,1,9.911979E-1
0,0,1.262178E-3
0,0,8.833826E-5
0,0,1.3786E-4
0,0,7.273399E-3
0,0,1.639205E-6
1,1,9.966059E-1
0,0,2.55496E-6
1,0,4.365746E-5
1,1,9.998777E-1
1,0,1.970017E-5
1,1,9.999954E-1
0,0,1.243769E-4
0,0,1.494376E-3
0,0,9.321435E-5
1,1,9.99937E-1
0,0,1.722016E-5
0,0,7.322545E-4
1,1,9.999185E-1
1,1,9.81902E-1
0,0,6.461007E-6
1,1,9.999103E-1
1,1,9.79555E-1
0,0,2.51442E-3
0,0,1.485582E-4
0,0,1.018216E-4
0,0,5.498733E-6
