trueLabel,bestAnswer,score
0,0,3.234488E-1
0,0,3.030103E-1
0,0,2.173607E-1
1,1,5.255009E-1
0,1,5.790327E-1
1,0,3.982854E-1
1,1,5.504293E-1
1,1,5.119896E-1
1,0,4.442134E-1
0,0,2.229598E-1
1,1,5.824762E-1
0,0,2.215999E-1
1,0,2.832913E-1
0,0,2.579659E-1
1,0,1.939429E-1
1,0,4.057247E-1
1,0,2.037615E-1
0,0,1.782712E-1
1,1,8.388122E-1
1,0,4.836617E-1
0,0,1.491264E-1
1,0,2.415552E-1
0,0,2.214355E-1
1,1,5.605481E-1
0,0,4.927174E-1
0,0,4.503928E-1
1,0,4.210215E-1
0,0,4.880636E-1
0,0,2.845596E-1
1,0,2.642228E-1
0,0,1.732851E-1
0,0,1.773485E-1
0,0,2.287739E-1
1,0,2.42864E-1
0,0,3.696738E-1
1,0,2.227453E-1
1,1,5.096093E-1
1,0,1.73528E-1
0,0,1.76555E-1
0,0,4.51693E-1
0,0,1.673838E-1
0,0,1.973574E-1
0,0,2.574981E-1
0,0,1.609057E-1
0,0,1.76882E-1
1,0,4.845685E-1
0,0,1.853955E-1
1,1,7.051297E-1
1,1,5.037647E-1
0,0,1.85654E-1
0,0,2.557579E-1
1,1,6.457101E-1
1,1,5.736517E-1
0,0,2.225083E-1
1,0,2.678468E-1
0,0,4.715182E-1
0,0,1.919608E-1
0,0,1.601065E-1
0,0,1.776014E-1
0,1,5.010686E-1
1,0,2.961356E-1
1,1,5.52492E-1
0,0,1.808548E-1
0,0,3.341493E-1
1,0,2.257294E-1
1,0,4.553518E-1
1,1,5.357405E-1
0,0,2.024239E-1
0,0,2.898318E-1
0,0,1.478513E-1
1,0,3.941693E-1
0,1,5.318082E-1
0,0,1.470951E-1
0,0,1.754361E-1
0,0,2.30326E-1
1,0,2.283386E-1
0,0,2.477718E-1
1,0,1.743841E-1
1,1,8.446571E-1
0,0,1.936323E-1
0,0,1.871956E-1
0,0,1.757382E-1
0,0,1.818159E-1
1,1,5.549167E-1
0,0,2.266822E-1
1,0,4.449731E-1
1,1,5.956947E-1
0,0,1.779077E-1
1,0,4.385755E-1
0,0,2.29829E-1
1,1,8.699418E-1
1,0,4.599494E-1
1,0,1.731457E-1
1,0,2.523487E-1
0,0,3.36111E-1
1,0,1.497813E-1
1,0,1.788193E-1
1,1,6.442626E-1
0,0,2.232294E-1
1,0,4.642236E-1
0,0,1.991293E-1
0,0,3.207173E-1
0,0,3.182772E-1
1,1,6.717112E-1
0,0,1.772125E-1
0,0,1.924737E-1
1,0,1.602281E-1
1,0,4.84237E-1
0,0,2.262659E-1
0,0,4.089419E-1
1,1,6.970607E-1
0,1,6.287987E-1
1,1,7.510906E-1
0,0,4.125928E-1
0,0,1.514976E-1
1,1,6.878384E-1
0,0,1.734316E-1
0,0,2.261295E-1
0,0,2.010582E-1
1,1,6.262633E-1
0,0,2.047136E-1
1,1,8.331364E-1
1,0,3.071073E-1
0,0,1.472271E-1
0,0,1.736301E-1
0,0,2.709741E-1
0,0,1.65082E-1
1,1,6.159407E-1
1,1,8.163039E-1
