trueLabel,bestAnswer,score
1,0,1.467438E-1
0,0,9.368339E-3
0,0,9.594411E-4
1,1,9.380832E-1
1,1,9.999964E-1
1,1,9.833895E-1
1,1,8.898619E-1
0,0,2.928506E-5
0,1,5.887155E-1
0,0,7.2664E-4
0,0,1.337962E-1
1,0,8.154233E-2
1,1,9.999997E-1
0,0,3.383806E-5
1,1,9.844782E-1
1,1,9.999998E-1
1,0,9.383655E-2
1,1,9.941162E-1
0,0,1.075739E-1
0,0,5.308418E-4
0,0,1.232041E-1
1,1,9.967896E-1
1,1,9.731246E-1
1,1,7.68886E-1
1,1,9.984499E-1
0,0,4.171586E-2
0,0,1.60285E-4
1,1,9.08298E-1
0,0,2.883773E-4
1,1,9.997107E-1
1,1,9.998138E-1
0,0,3.531795E-4
0,1,9.996336E-1
0,0,9.384599E-2
1,1,9.9874E-1
0,0,3.005966E-2
0,0,4.884826E-9
1,1,1E0
1,1,9.489149E-1
1,1,9.985963E-1
0,0,1.938661E-1
0,0,4.496955E-1
1,1,9.999617E-1
0,0,2.622535E-1
1,1,9.994152E-1
0,0,4.688078E-3
1,0,4.680357E-1
1,1,1E0
0,1,9.005971E-1
1,0,2.355356E-4
0,0,2.986575E-1
0,0,6.106615E-4
1,0,3.868063E-3
0,0,2.5674E-4
0,0,5.764409E-2
0,0,2.197537E-1
1,1,7.277142E-1
0,0,3.300526E-4
0,0,2.932549E-4
0,0,1.206854E-2
0,0,1.0647E-4
1,1,9.999946E-1
0,0,2.935471E-3
0,0,1.286146E-3
0,0,5.498818E-4
0,0,5.565024E-5
0,0,1.48394E-1
0,1,6.880027E-1
0,0,1.703333E-3
0,0,1.942206E-1
0,0,4.226378E-1
0,0,3.333738E-3
0,0,5.753888E-4
0,0,7.656157E-2
1,0,2.441558E-1
1,1,9.168771E-1
0,0,4.116828E-4
0,0,1.868178E-4
1,1,9.999969E-1
0,0,2.5219E-3
0,1,9.988092E-1
0,0,1.515094E-3
0,0,5.646428E-2
0,0,1.664151E-1
0,1,7.623178E-1
0,0,3.067452E-4
0,0,2.070098E-3
0,0,1.574445E-1
0,1,9.992388E-1
0,0,1.238135E-3
