trueLabel,bestAnswer,score
0,0,6.573183E-2
0,1,9.113277E-1
0,0,3.183338E-4
1,1,9.994143E-1
0,1,5.781127E-1
1,1,7.017493E-1
1,1,9.99342E-1
1,1,9.888639E-1
1,1,9.993396E-1
0,0,3.720983E-3
1,1,9.998354E-1
0,0,3.987025E-2
1,0,1.151777E-4
0,0,1.058858E-2
1,0,4.238326E-2
1,1,9.708448E-1
1,0,3.990987E-4
0,0,2.619431E-3
1,1,9.813764E-1
1,1,7.400553E-1
0,0,1.149286E-3
1,0,4.763452E-2
0,0,3.721129E-3
1,1,9.888612E-1
0,1,9.689224E-1
0,1,9.755077E-1
1,1,9.981512E-1
0,0,2.027191E-3
0,0,4.99117E-1
1,1,8.995334E-1
0,0,1.828391E-3
0,0,3.545669E-3
0,0,9.622356E-4
1,0,2.499204E-2
0,0,1.332375E-3
1,1,9.742715E-1
1,1,9.999912E-1
1,0,4.06294E-5
0,0,3.689336E-3
0,1,7.667104E-1
0,0,3.513822E-5
0,0,1.395074E-3
0,0,6.467979E-5
0,0,1.661491E-5
0,0,2.388393E-4
1,1,8.305924E-1
0,0,2.096575E-4
1,1,9.999993E-1
1,1,9.99365E-1
0,0,1.881664E-4
0,0,2.531666E-1
1,1,9.994899E-1
1,1,9.941204E-1
0,0,7.104303E-3
1,0,2.655275E-4
0,0,1.661935E-1
0,0,6.793775E-3
0,0,3.762178E-5
0,0,1.280448E-1
0,0,4.326225E-1
1,0,2.338334E-1
1,1,9.62712E-1
0,0,1.394214E-3
0,0,8.767217E-2
1,0,5.137012E-5
1,1,5.668258E-1
1,1,8.587586E-1
0,0,1.976321E-3
0,1,7.445907E-1
0,0,1.623562E-6
1,1,9.959541E-1
0,1,9.660026E-1
0,0,5.577586E-4
0,0,4.366216E-5
0,0,5.604814E-2
1,0,7.611122E-4
0,0,2.299637E-2
1,0,2.592045E-3
1,1,9.940455E-1
0,0,5.753888E-4
0,0,9.100723E-3
0,0,4.596617E-5
0,0,2.627446E-5
1,1,6.866424E-1
0,0,8.806025E-2
1,1,9.920266E-1
1,1,9.976479E-1
0,0,1.422461E-3
1,0,4.830219E-1
0,0,1.404653E-3
1,1,9.92236E-1
1,1,9.781321E-1
1,0,1.815103E-4
1,0,2.927266E-2
0,0,3.720166E-3
1,0,9.626517E-4
1,0,2.477899E-3
1,1,9.994445E-1
0,0,1.175873E-5
1,1,9.999451E-1
0,0,1.250932E-2
0,0,1.669666E-1
0,0,1.994877E-1
1,1,9.969223E-1
0,0,3.964317E-4
0,0,6.052235E-4
1,0,1.559161E-4
1,1,5.290279E-1
0,0,1.17945E-3
0,0,2.199135E-1
1,1,9.998058E-1
0,1,9.397533E-1
1,1,9.988348E-1
0,0,3.422799E-1
0,0,1.603655E-5
1,1,9.999979E-1
0,0,7.542984E-5
0,0,1.63063E-3
0,0,1.13082E-3
1,1,9.342152E-1
0,0,5.025374E-5
1,1,9.997801E-1
1,0,1.89396E-1
0,0,1.872084E-4
0,0,1.50484E-2
0,0,1.664347E-2
0,0,1.62373E-4
1,0,4.593895E-1
1,1,9.999999E-1
1,1,9.990666E-1
1,0,2.185582E-1
0,0,1.26962E-5
0,0,3.154569E-3
0,0,1.833059E-3
1,0,1.762307E-1
0,0,2.86334E-3
1,0,4.669263E-5
1,0,2.166453E-1
1,1,9.630174E-1
0,0,3.205873E-1
0,0,9.333865E-2
0,0,3.063028E-2
0,0,7.420472E-8
0,0,3.499837E-1
0,0,6.607649E-4
0,0,1.43665E-2
1,1,9.618813E-1
0,0,4.686555E-7
1,1,9.936036E-1
1,1,9.914646E-1
0,0,1.881452E-3
1,1,9.516211E-1
1,0,1.666555E-2
0,0,2.527038E-2
1,0,2.917867E-1
0,0,3.707011E-2
0,0,1.367178E-8
1,1,9.999994E-1
1,1,9.925087E-1
0,0,5.908266E-3
1,1,1E0
0,0,8.547473E-6
0,0,1.080561E-3
1,0,3.781877E-1
1,0,3.605208E-3
0,0,8.943103E-3
0,1,9.95289E-1
1,1,9.327594E-1
0,0,8.663197E-4
1,1,9.980343E-1
1,1,9.335681E-1
1,1,9.789071E-1
0,0,3.117694E-4
1,0,1.913786E-3
0,0,7.528166E-2
1,1,9.403657E-1
0,0,1.034203E-2
0,0,4.700852E-1
0,0,9.072459E-2
0,0,3.020091E-1
0,0,6.33017E-4
0,0,3.750447E-2
0,0,4.096475E-5
1,1,9.880273E-1
0,0,1.705335E-2
1,0,1.870078E-1
0,1,9.626652E-1
0,0,2.92375E-3
0,0,1.973203E-5
0,0,3.228653E-2
1,1,9.997872E-1
0,0,9.816483E-3
0,0,4.494845E-3
0,0,2.709566E-1
1,1,9.996944E-1
0,0,2.619256E-3
0,1,8.081934E-1
0,0,2.959662E-3
1,1,9.999997E-1
1,0,8.71855E-4
0,0,2.203328E-4
1,0,2.975279E-2
1,1,9.995075E-1
