"nature","sms"
0,"Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke "
0,"Mum not going robinson already."
0,"IM LATE TELLMISS IM ON MY WAY"
0,"Oh wow thats gay. Will firmware update help"
0,"DO U WANT 2 MEET UP 2MORRO"
1,"Phony �350 award - Todays Voda numbers ending XXXX are selected to receive a �350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app"
1,"Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n"
0,"Great! How is the office today?"
0,"If I was I wasn't paying attention"
0,"Yo sorry was in the shower sup"
0,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
0,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
0,"Hey u still at the gym?"
0,"But you were together so you should be thinkin about him"
0,"Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?"
0,"I think your mentor is , but not 100 percent sure."
0,"Hi..i got the money da:)"
0,"Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:"
0,"NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!"
1,"Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo"
0,"With my sis lor... We juz watched italian job."
0,"Aight, call me once you're close"
0,"That sucks. I'll go over so u can do my hair. You'll do it free right?"
0,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."""
0,"Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards."
0,"No no. I will check all rooms befor activities"
0,"Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL"
0,"I absolutely LOVE South Park! I only recently started watching the office."
0,"I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;"
0,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM"
0,"Much better now thanks lol"
0,"Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams.."
0,"Ok set let u noe e details later..."
1,"**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270"
0,"Why didn't u call on your lunch?"
0,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
0,"No rushing. I'm not working. I'm in school so if we rush we go hungry."
0,"Ok., is any problem to u frm him? Wats matter?"
0,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
0,"Not able to do anything."
0,"Oh for fuck's sake she's in like tallahassee"
0,"Hi Chikku, send some nice msgs"
0,"I'm not sure if its still available though"
0,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
0,"Merry christmas to u too annie!"
0,"Kothi print out marandratha."
0,"U 2."
0,"No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x"
0,"Sorry that was my uncle. I.ll keep in touch"
0,"Okey dokey swashbuckling stuff what oh."
0,"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8"
1,"goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468"
0,"I think if he rule tamilnadu..then its very tough for our people."
0,"Sir, waiting for your letter."
0,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word)."
0,"Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor."
0,"Did you see that film:)"
0,"What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend."
0,"Ok i also wan 2 watch e 9 pm show..."
0,"Just getting back home"
0,"Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys."
1,"This is the 2nd attempt to contract U, you have won this weeks top prize of either �1000 cash or �200 prize. Just call 09066361921"
0,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
0,"... Are you in the pub?"
0,"Are you staying in town ?"
1,"Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt"
0,"Hahaha..use your brain dear"
0,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \"""""
0,"I'm in inside office..still filling forms.don know when they leave me."
0,"Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing "
0,"So that takes away some money worries"
0,"Man this bus is so so so slow. I think you're gonna get there before me"
1,"PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04"
0,"Aight, text me tonight and we'll see what's up"
0,"I���ve got some salt, you can rub it in my open wounds if you like!"
0,"if you text on your way to cup stop that should work. And that should be BUS"
1,"Money i have won wining number 946 wot do i do next"
0,"Wewa is 130. Iriver 255. All 128 mb."
1,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04"
0,"I accidentally brought em home in the box"
1,"Urgent! Please call 09061213237 from landline. �5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+"
0,"Ranjith cal drpd Deeraj and deepak 5min hold"
0,"So gd got free ice cream... I oso wan..."
0,"hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30"
0,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
0,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
0,"Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face."
0,"Where r e meeting tmr?"
0,"Think + da. You wil do."
0,"Or I guess  &lt;#&gt;  min"
0,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
0,"Really do hope the work doesnt get stressful. Have a gr8 day."
0,"No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time."
0,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
0,"Hi dis is yijue i would be happy to work wif �_ all for gek1510..."
0,"\ER"
0,"I anything lor."
0,"Match started.india  &lt;#&gt;  for 2"
0,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
0,"Go chase after her and run her over while she's crossing the street"
1,"You have 1 new message. Call 0207-083-6089"
0,"Ding me on ya break fassyole! Blacko from londn"
0,"Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night."
0,"Y cant u try new invention to fly..i'm not joking.,"
1,"Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a"
0,"Noooooooo please. Last thing I need is stress. For once in your life be fair."
0,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
1,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
0,"They finally came to fix the ceiling."
1,"Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days."
0,"Wat time �_ finish?"
0,"U still havent got urself a jacket ah?"
0,"Wen did you get so spiritual and deep. That's great"
0,"Going to join tomorrow."
0,"Sweet heart how are you?"
0,"Ard 6 like dat lor."
0,"Gud ni8 dear..slp well..take care..swt dreams..Muah.."
0,"Hey mate. Spoke to the mag people. We���re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. "
0,"In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ"
0,"Hey come online! Use msn... We are all there"
0,"Anything lor. Juz both of us lor."
0,"We have pizza if u want"
0,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
0,"Hey what how about your project. Started aha da."
0,"Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside."
0,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
0,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."""
0,"Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?"
0,"Nokia phone is lovly.."
0,"We can go 4 e normal pilates after our intro...  "
0,"Y de asking like this."
0,"When you guys planning on coming over?"
0,"Hi. Hope you had a good day. Have a better night."
0,"Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?"
1,"WIN a �200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 �1.50perweeksub."
0,"Will �_ b going to esplanade fr home?"
0,"Please tell me not all of my car keys are in your purse"
0,"Only saturday and sunday holiday so its very difficult:)"
0,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The \sleep on a couch\"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?"""
0,"We will meet soon princess! Ttyl!"
0,"East coast"
0,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)"
0,"Thanx a lot 4 ur help!"
0,"I'm home. Doc gave me pain meds says everything is fine."
0,"I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me."
0,"�� no home work to do meh... "
0,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)"""
0,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
0,"Can help u swoop by picking u up from wherever ur other birds r meeting if u want."
0,"K. I will sent it again"
0,"V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night"
0,"�� still got lessons?  �� in sch?"
0,"Okie"
0,"U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM"
0,"Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday."
0,"She told to hr that he want posting in chennai:)because i'm working here:)"
0,"Yes just finished watching days of our lives. I love it."
0,"Hi its in durban are you still on this number"
0,"There is a first time for everything :)"
0,"Just dropped em off, omw back now"
0,"\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS �� FUCKINNICE!SELFISH"
0,"U wan 2 haf lunch i'm in da canteen now."
0,"Gr8. So how do you handle the victoria island traffic. Plus when's the album due"
0,"Sorry, I'll call later In meeting."
0,"Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates"
0,"\I;m reaching in another 2 stops.\"""""
0,"I will vote for wherever my heart guides me"
0,"No problem with the renewal. I.ll do it right away but i dont know his details."
0,"hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx"
0,"alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap"
0,"I'm vivek:)i got call from your number."
0,"I will come with karnan car. Please wait till 6pm will directly goto doctor."
0,"Good. do you think you could send me some pix? I would love to see your top and bottom..."
0,"Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here...."
0,"When are you guys leaving?"
0,"Yup. Anything lor, if u dun wan it's ok..."
0,"Didn't try, g and I decided not to head out"
1,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
0,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?"
1,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
0,"Lol, oh you got a friend for the dog ?"
0,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
0,"Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*"
0,"Company is very good.environment is terrific and food is really nice:)"
0,"MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY"
0,"Pity, * was in mood for that. So...any other suggestions?"
0,"I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob"
0,"We're on the opposite side from where we dropped you off"
0,"How do you plan to manage that"
1,"Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth �33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk"
0,"Ooooooh I forgot to tell u I can get on yoville on my phone"
0,"Okey dokey, i���ll be over in a bit just sorting some stuff out."
0,"Ok i vl..do u know i got adsense approved.."
0,"Well good morning mr . Hows london treatin' ya treacle?"
0,"Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt"
0,"Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model."
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
0,"You are gorgeous! keep those pix cumming :) thank you!"
0,"I have no money 4 steve mate! !"
0,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit"
1,"Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv"
1,"As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP"
0,"I'm in school now n i'll be in da lab doing some stuff give me a call when �_ r done."
0,"Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls."
0,"THIS IS A LONG FUCKIN SHOWR"
0,"Are u coming to the funeral home"
0,"Send me your resume:-)"
0,"Watching ajith film ah?"
0,"I cant pick the phone right now. Pls send a message"
0,"Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor."
0,"Just send a text. We'll skype later."
0,"As usual..iam fine, happy &amp; doing well..:)"
0,"Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx"
0,"Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota"
0,"Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh."
0,"Dhoni have luck to win some big title.so we will win:)"
0,"Ofcourse I also upload some songs"
0,"Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?"
0,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic "
0,"Sen told that he is going to join his uncle finance in cbe"
0,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""
0,"Ic. There are a lotta childporn cars then."
0,"I think i am disturbing her da"
0,"Yeah I should be able to, I'll text you when I'm ready to meet up"
0,"IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO "
1,"83039 62735=�450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 "
0,"Yar... I tot u knew dis would happen long ago already."
0,"I dont know ask to my brother. Nothing problem some thing that. Just i told ."
0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
0,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice..."
0,"Thanks, I'll keep that in mind"
0,"How come u got nothing to do?"
0,"Networking job is there."
1,"URGENT! Last weekend's draw shows that you have won �1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
0,"We live in the next  &lt;#&gt; mins"
1,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\"""""
0,"Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with"
0,"Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx"
0,"Haha yeah, 2 oz is kind of a shitload"
0,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
0,"Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see"
0,"Not for possession, especially not first offense"
1,"Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time."
1,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020"
0,"U studying in sch or going home? Anyway i'll b going 2 sch later."
0,"I want to go to perumbavoor"
0,"Wif my family booking tour package."
0,"I sent them. Do you like?"
0,"I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!"
0,"K I'm leaving soon, be there a little after 9"
1,"YOU VE WON! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins"
1,"You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3"
