p,k,ds_training_id,ds_evaluation_id,model_id,evaluation_id,rmse
1,0,ds_training_aml_p1_0,ds_evaluation_aml_p1_0,mdl_aml_p1_0,eval_aml_p1_0,0.11832612973859265
1,1,ds_training_aml_p1_1,ds_evaluation_aml_p1_1,mdl_aml_p1_1,eval_aml_p1_1,0.11063736504613812
1,2,ds_training_aml_p1_2,ds_evaluation_aml_p1_2,mdl_aml_p1_2,eval_aml_p1_2,0.1181329803610543
1,3,ds_training_aml_p1_3,ds_evaluation_aml_p1_3,mdl_aml_p1_3,eval_aml_p1_3,0.11600934485661779
1,4,ds_training_aml_p1_4,ds_evaluation_aml_p1_4,mdl_aml_p1_4,eval_aml_p1_4,0.10798360060140942
2,0,ds_training_aml_p2_0,ds_evaluation_aml_p2_0,mdl_aml_p2_0,eval_aml_p2_0,0.114908595879835
2,1,ds_training_aml_p2_1,ds_evaluation_aml_p2_1,mdl_aml_p2_1,eval_aml_p2_1,0.11402075230310724
2,2,ds_training_aml_p2_2,ds_evaluation_aml_p2_2,mdl_aml_p2_2,eval_aml_p2_2,0.10820310159416997
2,3,ds_training_aml_p2_3,ds_evaluation_aml_p2_3,mdl_aml_p2_3,eval_aml_p2_3,0.10707271340421039
2,4,ds_training_aml_p2_4,ds_evaluation_aml_p2_4,mdl_aml_p2_4,eval_aml_p2_4,0.11531297588636699
3,0,ds_training_aml_p3_0,ds_evaluation_aml_p3_0,mdl_aml_p3_0,eval_aml_p3_0,0.10479356494482336
3,1,ds_training_aml_p3_1,ds_evaluation_aml_p3_1,mdl_aml_p3_1,eval_aml_p3_1,0.1155759912780099
3,2,ds_training_aml_p3_2,ds_evaluation_aml_p3_2,mdl_aml_p3_2,eval_aml_p3_2,0.11245385405943689
3,3,ds_training_aml_p3_3,ds_evaluation_aml_p3_3,mdl_aml_p3_3,eval_aml_p3_3,0.1128259463688349
3,4,ds_training_aml_p3_4,ds_evaluation_aml_p3_4,mdl_aml_p3_4,eval_aml_p3_4,0.11970680733451257
4,0,ds_training_aml_p4_0,ds_evaluation_aml_p4_0,mdl_aml_p4_0,eval_aml_p4_0,0.10910511113813905
4,1,ds_training_aml_p4_1,ds_evaluation_aml_p4_1,mdl_aml_p4_1,eval_aml_p4_1,0.11700889482819057
4,2,ds_training_aml_p4_2,ds_evaluation_aml_p4_2,mdl_aml_p4_2,eval_aml_p4_2,0.12402068548740401
4,3,ds_training_aml_p4_3,ds_evaluation_aml_p4_3,mdl_aml_p4_3,eval_aml_p4_3,0.1092493947989582
4,4,ds_training_aml_p4_4,ds_evaluation_aml_p4_4,mdl_aml_p4_4,eval_aml_p4_4,0.11230232512278901
5,0,ds_training_aml_p5_0,ds_evaluation_aml_p5_0,mdl_aml_p5_0,eval_aml_p5_0,0.10747640553383761
5,1,ds_training_aml_p5_1,ds_evaluation_aml_p5_1,mdl_aml_p5_1,eval_aml_p5_1,0.11281650646117333
5,2,ds_training_aml_p5_2,ds_evaluation_aml_p5_2,mdl_aml_p5_2,eval_aml_p5_2,0.11388056178395718
5,3,ds_training_aml_p5_3,ds_evaluation_aml_p5_3,mdl_aml_p5_3,eval_aml_p5_3,0.11945398765837291
5,4,ds_training_aml_p5_4,ds_evaluation_aml_p5_4,mdl_aml_p5_4,eval_aml_p5_4,0.11659311100260858
